id_corso;materia;data;ora_inizio;ora_fine;luogo;compenso_orario;stato;fatturato;mese_fatturato;ore_fatturate;cliente
5064 GOL;5064 GOL;26/02/2025;14:30;20:30;Lecce;30.0;Completato;0;;0.0;forumlab
Patente europea 3355;Patente europea 3355;05/11/2024;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Patente europea 3355;Patente europea 3355;06/11/2024;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Patente europea 3355;Patente europea 3355;07/11/2024;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Patente europea 3355;Patente europea 3355;08/11/2024;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Patente europea 3355;Patente europea 3355;09/11/2024;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Patente europea 3355;Patente europea 3355;11/11/2024;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Patente europea 3355;Patente europea 3355;12/11/2024;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Patente europea 3355;Patente europea 3355;13/11/2024;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Patente europea 3355;Patente europea 3355;18/11/2024;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Patente europea 3355;Patente europea 3355;19/11/2024;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Patente europea 3355;Patente europea 3355;20/11/2024;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Patente europea 3355;Patente europea 3355;21/11/2024;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Patente europea 3355;Patente europea 3355;22/11/2024;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Patente europea 3355;Patente europea 3355;23/11/2024;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Patente europea 3355;Patente europea 3355;25/11/2024;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Patente europea 3355;Patente europea 3355;26/11/2024;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Patente europea 3355;Patente europea 3355;27/11/2024;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Patente europea 3355;Patente europea 3355;28/11/2024;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Patente europea 3355;Patente europea 3355;29/11/2024;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Patente europea 3355;Patente europea 3355;30/11/2024;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Patente europea 3355;Patente europea 3355;02/12/2024;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Patente europea 3355;Patente europea 3355;03/12/2024;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Patente europea 3355;Patente europea 3355;04/12/2024;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Patente europea 3355;Patente europea 3355;05/12/2024;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Patente europea 3355;Patente europea 3355;07/12/2024;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Patente europea 3355;Patente europea 3355;09/12/2024;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Patente europea 3355;Patente europea 3355;10/12/2024;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Patente europea 3355;Patente europea 3355;11/12/2024;08:00;14:00;Lecce;20.0;Completato;0;;0.0;forumlab
Informatica Collepasso;Informatica Collepasso;10/03/2025;15:30;18:30;Collepasso;30.0;Completato;1;2025-04;3.0;dedalos
Informatica Collepasso;Informatica Collepasso;17/03/2025;15:30;18:30;Collepasso;30.0;Completato;1;2025-04;3.0;dedalos
Informatica Collepasso;Informatica Collepasso;24/03/2025;15:30;18:30;Collepasso;30.0;Completato;1;2025-04;3.0;dedalos
Informatica Collepasso;Informatica Collepasso;31/03/2025;15:30;18:30;Collepasso;30.0;Completato;1;2025-04;3.0;dedalos
Informatica Collepasso;Informatica Collepasso;07/04/2025;15:30;18:30;Collepasso;30.0;Completato;0;;0.0;dedalos
Informatica TUGLIE 5a 5b;Informatica TUGLIE 5a 5b;12/03/2025;15:30;18:30;Tuglie;30.0;Completato;1;2025-04;3.0;dedalos
