id_corso,materia,data,ora_inizio,ora_fine,luogo,compenso_orario,stato,fatturato,mese_fatturato,cliente
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-02-28,15:30,16:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/02,
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-02-28,16:30,17:30,GALATINA PRIMO POLO,30.0,Completato,1,2025/02,
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-03-20,14:30,15:30,GALATINA PRIMO POLO,30.0,Completato,0,,
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-03-20,15:30,16:30,GALATINA PRIMO POLO,30.0,Completato,0,,
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-03-20,16:30,17:30,GALATINA PRIMO POLO,30.0,Completato,0,,
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-03-21,14:30,15:30,GALATINA PRIMO POLO,30.0,Pianificato,0,,
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-03-21,15:30,16:30,GALATINA PRIMO POLO,30.0,Pianificato,0,,
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-03-21,16:30,17:30,GALATINA PRIMO POLO,30.0,Pianificato,0,,
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-03-28,14:30,15:30,GALATINA PRIMO POLO,30.0,Pianificato,0,,
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-03-28,15:30,16:30,GALATINA PRIMO POLO,30.0,Pianificato,0,,
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-03-28,16:30,17:30,GALATINA PRIMO POLO,30.0,Pianificato,0,,
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-03-06,14:30,15:30,GALATINA PRIMO POLO,30.0,Completato,0,,
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-03-06,15:30,16:30,GALATINA PRIMO POLO,30.0,Completato,0,,
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-03-06,16:30,17:30,GALATINA PRIMO POLO,30.0,Completato,0,,
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-03-07,14:30,15:30,GALATINA PRIMO POLO,30.0,Completato,0,,
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-03-07,15:30,16:30,GALATINA PRIMO POLO,30.0,Completato,0,,
Coding e robotica TERZA MEDIA4,Coding e robotica TERZA MEDIA4,2025-03-07,16:30,17:30,GALATINA PRIMO POLO,30.0,Completato,0,,
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-03-13,16:30,17:30,GALATINA PRIMO POLO,30.0,Completato,0,,
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-03-13,14:30,15:30,GALATINA PRIMO POLO,30.0,Completato,0,,
Coding e robotica SECONDA MEDIA,Coding e robotica SECONDA MEDIA,2025-03-13,15:30,16:30,GALATINA PRIMO POLO,30.0,Completato,0,,
propedeutico pekit,propedeutico pekit,2025-01-28,08:30,13:30,Lecce,20.0,Completato,0,,
Docenti,Docenti,2025-05-30,16:30,19:30,Parabita,30.0,Pianificato,0,,
Garanzia Giovani,Garanzia Giovani,2025-02-03,08:00,14:00,Lecce,20.0,Completato,0,,
TEST-CORSO,Matematica,2025-04-20,09:00,10:30,Aula 1,25.0,Pianificato,0,,
